event_count,format,compression,producer_elapsed_sec,producer_maxrss_kb,connector_elapsed_sec,connector_maxrss_kb,lag,objects,size_bytes,free_kb_after_cleanup,scenario_dir
10000,parquet,snappy,1.93,39808,4.41,328132,0,6,40224150,53407236,/home/henrique/Documents/data-ingestion-runtime/.codex/post-e2e-20260425T230810Z/10000/parquet
10000,avro,snappy,2.95,40620,3.29,184420,0,6,42055354,53407204,/home/henrique/Documents/data-ingestion-runtime/.codex/post-e2e-20260425T230810Z/10000/avro
