event_count,compression,flush_workers,encode_workers,upload_workers,producer_elapsed_sec,producer_maxrss_kb,connector_elapsed_sec,connector_maxrss_kb,throughput_records_per_sec,lag,objects,size_bytes,heap_alloc_bytes,heap_inuse_bytes,heap_sys_bytes,total_alloc_bytes,alloc_delta_bytes,alloc_rate_bytes_per_sec,gc_cycles,gc_pause_total_ns,page_cache_before_kb,page_cache_after_connector_kb,page_cache_after_cleanup_kb,free_kb_after_cleanup,scenario_dir
500000,snappy,1,1,1,199.66,123784,310.56,619100,1609.99,0,54,4163080070,321455456,323657728,673644544,17888510456,17886791784,57925612.1495105,113,70122777,762732,3140560,1428496,53574760,.codex/avro-e2e-matrix-500k-20260426T005549Z/count=500000/flush=1-encode=1-upload=1
500000,snappy,2,2,2,202.39,118352,297.66,597444,1679.77,0,54,4163095936,321615600,324149248,639860736,18038446840,18036729256,60976692.444581404,114,39374260,1595764,3130672,1222456,53571848,.codex/avro-e2e-matrix-500k-20260426T005549Z/count=500000/flush=2-encode=2-upload=2
500000,snappy,4,2,2,209.94,137552,385.31,589744,1297.66,0,54,4163097830,321655928,324124672,644087808,17980866440,17979154520,47006399.04562307,108,54271479,1222504,2807936,1315756,53573412,.codex/avro-e2e-matrix-500k-20260426T005549Z/count=500000/flush=4-encode=2-upload=2
500000,snappy,2,4,2,213.51,128020,392.95,596588,1272.43,0,54,4163072340,321556696,323895296,669286400,17927439664,17925722328,45680704.323631614,112,49676832,1315756,2901272,1336768,53571252,.codex/avro-e2e-matrix-500k-20260426T005549Z/count=500000/flush=2-encode=4-upload=2
500000,snappy,2,2,4,224.72,134160,407.40,614728,1227.30,0,54,4163092820,321689688,324329472,702644224,17982043536,17980326520,44214697.76592435,109,28865321,1335820,2939420,1336352,53572904,.codex/avro-e2e-matrix-500k-20260426T005549Z/count=500000/flush=2-encode=2-upload=4
500000,snappy,4,4,4,210.06,120780,337.46,607600,1481.66,0,54,4163089774,321763440,324485120,656605184,17971601032,17969882800,53725620.50943123,108,57580700,1336352,2833460,1633576,53290868,.codex/avro-e2e-matrix-500k-20260426T005549Z/count=500000/flush=4-encode=4-upload=4
