event_count,compression,flush_workers,encode_workers,upload_workers,producer_elapsed_sec,producer_maxrss_kb,connector_elapsed_sec,connector_maxrss_kb,throughput_records_per_sec,lag,objects,size_bytes,heap_alloc_bytes,heap_inuse_bytes,heap_sys_bytes,total_alloc_bytes,alloc_delta_bytes,alloc_rate_bytes_per_sec,gc_cycles,gc_pause_total_ns,page_cache_before_kb,page_cache_after_connector_kb,page_cache_after_cleanup_kb,free_kb_after_cleanup,scenario_dir
300000,snappy,4,2,2,27.99,115344,318.57,608124,941.71,0,33,2497795335,296813984,299433984,648052736,10673345776,10671629192,33673151.31793304,66,560897243,1896824,2151732,880124,53562948,.codex/avro-e2e-matrix-300k-rest-20260426T003107Z/count=300000/flush=4-encode=2-upload=2
300000,snappy,2,4,2,148.66,113144,259.00,594916,1158.30,0,33,2497788598,470091456,473382912,673251328,10793704824,10792022656,41849828.288825236,71,2850744745,881160,1962364,955676,53562536,.codex/avro-e2e-matrix-300k-rest-20260426T003107Z/count=300000/flush=2-encode=4-upload=2
300000,snappy,2,2,4,108.63,129616,232.48,593388,1290.43,0,33,2497771877,319247312,322019328,690257920,10866072704,10864349984,47002940.539137654,69,55213501,956764,2358008,619076,53562216,.codex/avro-e2e-matrix-300k-rest-20260426T003107Z/count=300000/flush=2-encode=2-upload=4
300000,snappy,4,4,4,115.83,111000,217.00,603196,1382.49,0,33,2497745804,396804984,400531456,627212288,10737264920,10735546080,49890758.70467279,66,46448622,619616,2902684,756648,53561856,.codex/avro-e2e-matrix-300k-rest-20260426T003107Z/count=300000/flush=4-encode=4-upload=4
