event_count,compression,flush_workers,encode_workers,upload_workers,producer_elapsed_sec,producer_maxrss_kb,connector_elapsed_sec,connector_maxrss_kb,throughput_records_per_sec,lag,objects,size_bytes,heap_alloc_bytes,heap_inuse_bytes,heap_sys_bytes,total_alloc_bytes,alloc_delta_bytes,alloc_rate_bytes_per_sec,gc_cycles,gc_pause_total_ns,page_cache_before_kb,page_cache_after_connector_kb,page_cache_after_cleanup_kb,free_kb_after_cleanup,scenario_dir
100000,snappy,1,1,1,15.02,95144,23.54,552636,4248.09,13006,12,724247805,450680560,453001216,573243392,3352087512,3350371464,144512747.68076858,25,7382438,1716144,1534276,1033440,53381764,.codex/avro-e2e-matrix-20260425T234831Z/count=100000/flush=1-encode=1-upload=1
100000,snappy,2,2,2,10.04,109516,38.34,572808,2608.24,0,12,832578552,472161536,475906048,623411200,3675626336,3673943808,97776590.35781743,26,45508419,1037520,1417788,853196,53381672,.codex/avro-e2e-matrix-20260425T234831Z/count=100000/flush=2-encode=2-upload=2
100000,snappy,4,2,2,33.49,108788,54.44,607628,1836.88,0,12,832568079,318002800,321175552,665354240,3711772696,3710054248,69042322.42991473,25,1291343825,853088,1511668,849616,53381528,.codex/avro-e2e-matrix-20260425T234831Z/count=100000/flush=4-encode=2-upload=2
100000,snappy,2,4,2,25.76,92044,69.96,577872,1429.39,0,12,832557602,3341536,5955584,589987840,3701646152,3699929496,53820491.88739113,33,29180906,849776,1569416,889160,53381372,.codex/avro-e2e-matrix-20260425T234831Z/count=100000/flush=2-encode=4-upload=2
